HCHO_reading,Location,Current_Date,Next_Date
0.0001936077267456,nuwara eliya proper,2019-12-29,2019-12-30
2.837138933940408e-05,nuwara eliya proper,2019-12-30,2019-12-31
1.8020774742708853e-05,nuwara eliya proper,2019-12-31,2020-01-01
1.8020774742708853e-05,nuwara eliya proper,2020-01-01,2020-01-02
1.8020774742708853e-05,nuwara eliya proper,2020-01-02,2020-01-03
7.971946523881809e-05,nuwara eliya proper,2020-01-03,2020-01-04
0.0002221059548901,nuwara eliya proper,2020-01-04,2020-01-05
0.0001159583617149,nuwara eliya proper,2020-01-05,2020-01-06
6.421119687120402e-05,nuwara eliya proper,2020-01-06,2020-01-07
6.421119687120402e-05,nuwara eliya proper,2020-01-07,2020-01-08
0.0001254094677278,nuwara eliya proper,2020-01-08,2020-01-09
9.527971988931567e-05,nuwara eliya proper,2020-01-09,2020-01-10
5.424391430146463e-05,nuwara eliya proper,2020-01-10,2020-01-11
4.828142649293358e-05,nuwara eliya proper,2020-01-11,2020-01-12
3.1963263609213755e-06,nuwara eliya proper,2020-01-12,2020-01-13
3.1963263609213755e-06,nuwara eliya proper,2020-01-13,2020-01-14
0.0001008577189011,nuwara eliya proper,2020-01-14,2020-01-15
0.0003100065786437,nuwara eliya proper,2020-01-15,2020-01-16
0.0003100065786437,nuwara eliya proper,2020-01-16,2020-01-17
0.0003100065786437,nuwara eliya proper,2020-01-17,2020-01-18
0.0003100065786437,nuwara eliya proper,2020-01-18,2020-01-19
0.0003100065786437,nuwara eliya proper,2020-01-19,2020-01-20
0.0002333852549772,nuwara eliya proper,2020-01-20,2020-01-21
5.044574209023267e-06,nuwara eliya proper,2020-01-21,2020-01-22
5.044574209023267e-06,nuwara eliya proper,2020-01-22,2020-01-23
5.044574209023267e-06,nuwara eliya proper,2020-01-23,2020-01-24
5.044574209023267e-06,nuwara eliya proper,2020-01-24,2020-01-25
5.044574209023267e-06,nuwara eliya proper,2020-01-25,2020-01-26
0.0002514555784161,nuwara eliya proper,2020-01-26,2020-01-27
1.5972322239645614e-05,nuwara eliya proper,2020-01-27,2020-01-28
2.4162307975538745e-05,nuwara eliya proper,2020-01-28,2020-01-29
8.765511960787914e-05,nuwara eliya proper,2020-01-29,2020-01-30
0.0001547180170078,nuwara eliya proper,2020-01-30,2020-01-31
0.0001338702093236,nuwara eliya proper,2020-01-31,2020-02-01
0.0001338702093236,nuwara eliya proper,2020-02-01,2020-02-02
2.5702771381475028e-05,nuwara eliya proper,2020-02-02,2020-02-03
2.5702771381475028e-05,nuwara eliya proper,2020-02-03,2020-02-04
